UserAgent,Page Views
Dalvik/2.1.0 (Linux; U; Android 6.0; HTC_0PJA10 Build/MRA58K),"4,615"
Dalvik/2.1.0 (Linux; U; Android 5.0; P01MA Build/LRX21V),"4,611"
Dalvik/2.1.0 (Linux; U; Android 5.0.2; D6616 Build/23.1.C.0.399),"4,601"
Dalvik/2.1.0 (Linux; U; Android 6.0.1; SM-G389F Build/MMB29K),"4,599"
Dalvik/1.6.0 (Linux; U; Android 4.2.2; K00F Build/JDQ39),"4,597"
Dalvik/1.6.0 (Linux; U; Android 4.4.2; TECNO-Y2 Build/KOT49H),"4,585"
BBCBeacon/3.5 (iPhone; iPhone OS 9.3.5) BBCNews/2.1,"4,579"
Dalvik/2.1.0 (Linux; U; Android 5.1; Infinix HOT 3 Build/LMY47I),"4,578"
Dalvik/2.1.0 (Linux; U; Android 6.0.1; SM-J700T1 Build/MMB29K),"4,578"
BBCBeacon/3.5 (iPhone; iPhone OS 9.3.5) BBCNews/2.0.1,"4,576"
BBCBeacon/0.74b (GT-P3110; Android 4.2.2) news/2.4.5 UK,"4,565"
Dalvik/2.1.0 (Linux; U; Android 5.1.1; SM-J200Y Build/LMY47X),"4,565"
Dalvik/1.6.0 (Linux; U; Android 4.0.4; BNTV400 Build/IMM76L),"4,558"
Dalvik/2.1.0 (Linux; U; Android 6.0.1; SM-N915V Build/MMB29M),"4,557"
Dalvik/2.1.0 (Linux; U; Android 6.0.1; S60 Build/MMB29M),"4,542"
Dalvik/2.1.0 (Linux; U; Android 5.0.2; HTC One E9PLUS dual sim Build/LRX22G),"4,539"
Dalvik/2.1.0 (Linux; U; Android 6.0.1; Wileyfox Swift Build/MMB29X),"4,537"
Dalvik/2.1.0 (Linux; U; Android 5.1.1; OPPO R7sm Build/LMY47V),"4,535"
Dalvik/2.1.0 (Linux; U; Android 5.0; E2353 Build/26.1.A.3.111),"4,531"
Dalvik/2.1.0 (Linux; U; Android 5.1.1; LG-H634 Build/LMY47V),"4,510"
BBCBeacon/0.74b (C1905; Android 4.3) news/2.5.5 UK,"4,509"
Dalvik/2.1.0 (Linux; U; Android 5.1.1; SAMSUNG-SM-G920A Build/LMY47X),"4,504"
Dalvik/2.1.0 (Linux; U; Android 5.0.2; SM-T715 Build/LRX22G),"4,493"
Dalvik/2.1.0 (Linux; U; Android 5.0; LG-D855 Build/LRX21R.A1421650137),"4,489"
Dalvik/2.1.0 (Linux; U; Android 5.1.1; SM-G925I Build/LMY47X),"4,489"
Dalvik/1.6.0 (Linux; U; Android 4.2.2; MediaPad M1 8.0 Build/HuaweiMediaPad),"4,485"
Dalvik/2.1.0 (Linux; U; Android 5.1.1; 2014818 MIUI/V7.5.3.0.LHJMIDE),"4,484"
Dalvik/2.1.0 (Linux; U; Android 6.0.1; Nexus 5 Build/MMB29V),"4,480"
Dalvik/1.6.0 (Linux; U; Android 4.4.2; GT-I9205 Build/KOT49H),"4,476"
Dalvik/2.1.0 (Linux; U; Android 5.0.2; TECNO-C5 Build/LRX22G),"4,467"
BBCBeacon/0.74b (XT1032; Android 5.0.2) news/2.5.5 UK,"4,463"
BBCBeacon/0.74b (GT-I9100P; Android 2.3.4) news/2.5.4 UK,"4,456"
Dalvik/2.1.0 (Linux; U; Android 5.1.1; D6503 Build/23.4.A.1.232),"4,452"
Dalvik/2.1.0 (Linux; U; Android 5.1.1; SAMSUNG-SM-G890A Build/LMY47X),"4,451"
Dalvik/1.6.0 (Linux; U; Android 4.4.4; D2303 Build/18.3.1.C.1.13),"4,441"
Dalvik/2.1.0 (Linux; U; Android 6.0; EVA-AL00 Build/HUAWEIEVA-AL00),"4,436"
BBCBeacon/3.5 (iPad; iPhone OS 9.3.5) BBCNews/2.1.1,"4,433"
Dalvik/1.6.0 (Linux; U; Android 4.3; SM-G7102 Build/JLS36C),"4,431"
Dalvik/1.6.0 (Linux; U; Android 4.1.2; GT-N7100 Build/JZO54K),"4,428"
BBCBeacon/0.74b (Nexus 7; Android 4.2.2) news/2.5.5 UK,"4,420"
Dalvik/2.1.0 (Linux; U; Android 6.0; LG-K430 Build/MRA58K),"4,411"
Dalvik/2.1.0 (Linux; U; Android 5.0.2; HTCONE Build/LRX22G),"4,407"
Dalvik/2.1.0 (Linux; U; Android 5.0.2; LG-D800 Build/LRX22G),"4,406"
Dalvik/1.6.0 (Linux; U; Android 4.4.4; D5503 Build/14.4.A.0.157),"4,396"
Dalvik/2.1.0 (Linux; U; Android 6.0.1; Nexus 6 Build/MOB31E),"4,392"
Dalvik/2.1.0 (Linux; U; Android 6.0; E6653 Build/32.1.A.1.163),"4,385"
Dalvik/2.1.0 (Linux; U; Android 5.1; HUAWEI TIT-AL00 Build/HUAWEITIT-AL00),"4,377"
Dalvik/2.1.0 (Linux; U; Android 6.0.1; SGP612 Build/23.5.A.1.291),"4,376"
Dalvik/2.1.0 (Linux; U; Android 6.0.1; Nexus 6 Build/MOB30I),"4,371"
Dalvik/2.1.0 (Linux; U; Android 5.1; Lenovo A2010-a Build/LMY47D),"4,366"
Dalvik/1.6.0 (Linux; U; Android 4.1.1; HP Slate 7 Build/JRO03H),"4,364"
Dalvik/2.1.0 (Linux; U; Android 5.1; TECNO-L8 Build/LMY47I),"4,361"
Dalvik/1.6.0 (Linux; U; Android 4.4.2; SM-P605 Build/KOT49H),"4,349"
Dalvik/1.6.0 (Linux; U; Android 4.4.4; SM-T116 Build/KTU84P),"4,349"
Dalvik/1.6.0 (Linux; U; Android 4.4.4; SM-G901F Build/KTU84P),"4,344"
Dalvik/2.1.0 (Linux; U; Android 5.1.1; SM-N920I Build/LMY47X),"4,335"
Dalvik/2.1.0 (Linux; U; Android 5.1; XT1021 Build/LPC23.13-34.8),"4,334"
Dalvik/2.1.0 (Linux; U; Android 5.0.2; SM-T350 Build/LRX22G),"4,333"
Dalvik/2.1.0 (Linux; U; Android 5.1.1; SM-A8000 Build/LMY47X),"4,332"
Dalvik/2.1.0 (Linux; U; Android 5.1; OPPO A37m Build/LMY47I),"4,324"
BBCBeacon/3.5 (iPad; iPhone OS 9.3.5) BBCNews/2.1.2,"4,317"
Dalvik/2.1.0 (Linux; U; Android 5.1.1; vivo V3 Build/LMY47V),"4,296"
Dalvik/2.1.0 (Linux; U; Android 6.0.1; MI NOTE LTE MIUI/V8.0.2.0.MXEMIDG),"4,295"
Dalvik/2.1.0 (Linux; U; Android 5.1; m1 metal Build/LMY47I),"4,282"
Dalvik/1.6.0 (Linux; U; Android 4.4.2; SM-G900T Build/KOT49H),"4,269"
Dalvik/2.1.0 (Linux; U; Android 6.0.1; E2306 Build/26.3.A.0.131),"4,258"
Dalvik/1.6.0 (Linux; U; Android 4.4.4; MI PAD MIUI/V7.5.1.0.KXFCNDE),"4,257"
Dalvik/2.1.0 (Linux; U; Android 6.0; LGUS991 Build/MRA58K),"4,252"
Dalvik/2.1.0 (Linux; U; Android 5.1; BLU LIFE ONE X Build/LMY47D),"4,251"
Dalvik/1.6.0 (Linux; U; Android 4.3; GT-I9305T Build/JSS15J),"4,248"
Dalvik/1.6.0 (Linux; U; Android 4.4.2; CHM-U01 Build/HonorCHM-U01),"4,241"
Dalvik/2.1.0 (Linux; U; Android 6.0.1; Nexus 5 Build/MOB30D),"4,238"
Dalvik/2.1.0 (Linux; U; Android 5.1.1; D5803 Build/23.4.A.1.200),"4,234"
BBCBeacon/0.74b (C1505; Android 4.1.1) news/2.5.5 UK,"4,232"
BBCBeacon/3.5 (iPhone; iPhone OS 6.0) BBCNews/2.1.4,"4,221"
BBCBeacon/0.74b (GT-I9195; Android 4.2.2) news/2.4.5 UK,"4,218"
Dalvik/2.1.0 (Linux; U; Android 6.0.1; LG-K428 Build/MMB29M),"4,217"
Dalvik/2.1.0 (Linux; U; Android 5.1.1; SAMSUNG-SM-N915A Build/LMY47X),"4,208"
BBCBeacon/0.74b (SM-T210; Android 4.4.2) news/2.4.5 UK,"4,194"
Dalvik/2.1.0 (Linux; U; Android 5.0.2; HTC Desire EYE Build/LRX22G),"4,194"
Dalvik/1.6.0 (Linux; U; Android 4.4.4; HTC One_M8 Build/KTU84P),"4,192"
Dalvik/2.1.0 (Linux; U; Android 6.0.1; Aquaris M5 Build/MMB29M),"4,192"
BBCNews/3.7.0.99 CFNetwork/711.4.6 Darwin/14.0.0,"4,187"
Dalvik/2.1.0 (Linux; U; Android 6.0.1; E6833 Build/32.2.A.0.253),"4,185"
Dalvik/1.6.0 (Linux; U; Android 4.2.2; GT-I9105P Build/JDQ39),"4,180"
BBCNews/3.6.0.149 CFNetwork/672.1.13 Darwin/14.0.0,"4,179"
Dalvik/1.6.0 (Linux; U; Android 4.4.4; D2303 Build/18.3.1.C.0.21),"4,167"
Dalvik/2.1.0 (Linux; U; Android 6.0.1; SM-C5000 Build/MMB29M),"4,157"
Dalvik/2.1.0 (Linux; U; Android 6.0.1; Z981 Build/MMB29M),"4,148"
Dalvik/2.1.0 (Linux; U; Android 5.1.1; VF-1397 Build/LMY47V),"4,145"
Dalvik/2.1.0 (Linux; U; Android 5.0; LG-D855 Build/LRX21R.A1439892504),"4,140"
Dalvik/2.1.0 (Linux; U; Android 5.1; E8QP Build/LMY47D),"4,133"
Dalvik/1.6.0 (Linux; U; Android 4.2.2; GT-P5210 Build/JDQ39),"4,122"
Dalvik/2.1.0 (Linux; U; Android 6.0.1; Nexus 5 Build/MOB31E),"4,108"
BBCBeacon/3.5 (iPad; iPhone OS 6.1) BBCNews/2.1.4,"4,104"
Dalvik/1.6.0 (Linux; U; Android 4.4.2; SM-G800H Build/KOT49H),"4,104"
Dalvik/2.1.0 (Linux; U; Android 5.1.1; D2305 Build/18.6.A.0.182),"4,103"
Dalvik/1.6.0 (Linux; U; Android 4.4.2; Lenovo A536 Build/KOT49H),"4,100"
Dalvik/2.1.0 (Linux; U; Android 5.0.2; SAMSUNG-SM-G920A Build/LRX22G),"4,098"
BBCNews/3.6.2.6 CFNetwork/711.1.12 Darwin/14.0.0,"4,097"
Dalvik/2.1.0 (Linux; U; Android 5.1.1; OPPO R9 Plusm A Build/LMY47V),"4,086"
Dalvik/2.1.0 (Linux; U; Android 6.0; VIE-L29 Build/HUAWEIVIE-L29),"4,079"
Dalvik/2.1.0 (Linux; U; Android 5.1.1; SM-G530P Build/LMY47X),"4,069"
Dalvik/2.1.0 (Linux; U; Android 6.0.1; Nexus 6 Build/MOB30M),"4,069"
Dalvik/2.1.0 (Linux; U; Android 6.0.1; HTC 2PS6200 Build/MMB29M),"4,065"
Dalvik/2.1.0 (Linux; U; Android 7.0; Nexus 5X Build/NRD90R),"4,064"
BBCBeacon/1.00 (iPhone; iPhone OS 9.3.5) BBCNews/1.7.6,"4,057"
Dalvik/2.1.0 (Linux; U; Android 5.1; XT1528 Build/LPIS23.29-17.5-2),"4,056"
Dalvik/1.6.0 (Linux; U; Android 4.3; SM-N7502 Build/JLS36C),"4,050"
BBCBeacon/0.74b (SAMSUNG-SGH-I337; Android 5.0.1) news/2.5.5 WW,"4,043"
Dalvik/2.1.0 (Linux; U; Android 6.0.1; MI 3W MIUI/V8.0.2.0.MXDCNDG),"4,037"
Dalvik/1.6.0 (Linux; U; Android 4.4.2; SAMSUNG-SGH-I337 Build/KOT49H),"4,035"
Dalvik/2.1.0 (Linux; U; Android 5.1; m2 Build/LMY47D),"4,029"
Dalvik/2.1.0 (Linux; U; Android 5.1; XT1094 Build/LPE23.32-39-R-28),"4,026"
BBCBeacon/0.74b (LG-D855; Android 5.0) news/2.5.5 UK,"4,024"
Dalvik/2.1.0 (Linux; U; Android 5.1.1; Redmi 3 MIUI/V8.0.1.0.LAICNDG),"4,017"
Dalvik/1.6.0 (Linux; U; Android 4.4.2; GT-I9506 Build/KOT49H),"4,010"
Dalvik/2.1.0 (Linux; U; Android 6.0.1; SM-J710GN Build/MMB29K),"3,993"
Dalvik/1.6.0 (Linux; U; Android 4.0.4; BNTV600 Build/IMM76L),"3,990"
Dalvik/2.1.0 (Linux; U; Android 5.1; MotoE2 Build/LPC23.13-56),"3,980"
Dalvik/2.1.0 (Linux; U; Android 5.1.1; LG-K420 Build/LMY47V),"3,975"
Dalvik/1.6.0 (Linux; U; Android 4.1.2; GT-I9100P Build/JZO54K),"3,972"
Dalvik/1.6.0 (Linux; U; Android 4.4.2; PE-TL10 Build/HuaweiPE-TL10),"3,970"
Dalvik/1.6.0 (Linux; U; Android 4.4.4; SM-G850F Build/KTU84P),"3,953"
Dalvik/1.6.0 (Linux; U; Android 4.2.2; A1-810 Build/JDQ39),"3,944"
BBCBeacon/3.5 (iPhone; iPhone OS 8.0.2) BBCNews/2.1.4,"3,940"
Dalvik/1.6.0 (Linux; U; Android 4.4.2; SM-G3815 Build/KOT49H),"3,940"
Dalvik/1.6.0 (Linux; U; Android 4.4.2; HTC Desire 601 Build/KOT49H),"3,939"
Dalvik/2.1.0 (Linux; U; Android 5.1; M5 mini Build/LMY47I),"3,939"
Dalvik/1.6.0 (Linux; U; Android 4.4.2; QMV7B Build/KOT49H),"3,937"
BBCBeacon/0.74b (GT-I9195; Android 4.4.2) news/2.5.5 WW,"3,933"
Dalvik/2.1.0 (Linux; U; Android 5.0.2; SM-A700YD Build/LRX22G),"3,933"
Dalvik/2.1.0 (Linux; U; Android 5.1.1; SM-J100VPP Build/LMY48B),"3,929"
BBCBeacon/3.5 (iPad; iPhone OS 9.1) BBCNews/2.1.4,"3,928"
Dalvik/2.1.0 (Linux; U; Android 5.0.1; LGL22C Build/LRX21Y),"3,921"
Dalvik/2.1.0 (Linux; U; Android 6.0.1; SC-04F Build/MMB29M),"3,914"
Dalvik/2.1.0 (Linux; U; Android 5.1; HUAWEI TIT-U02 Build/HUAWEITIT-U02),"3,896"
BBCBeacon/0.74b (GT-P5110; Android 4.1.1) news/2.5.5 UK,"3,895"
Dalvik/2.1.0 (Linux; U; Android 6.0; Le X620 Build/HEXCNFN5801708221S),"3,888"
Dalvik/2.1.0 (Linux; U; Android 5.1; m1 note Build/LMY47D),"3,887"
BBCBeacon/0.74b (HUAWEI Y300-0100; Android 4.1.1) news/2.5.5 UK,"3,880"
Dalvik/2.1.0 (Linux; U; Android 6.0; MI 5 MIUI/V7.5.9.0.MAACNDE),"3,879"
BBCNews/3.7.0.99 CFNetwork/711.5.6 Darwin/14.0.0,"3,875"
BBCBeacon/0.74b (GT-S6500; Android 2.3.6) news/2.5.4 UK,"3,866"
Dalvik/1.6.0 (Linux; U; Android 4.4.4; SAMSUNG-SM-G900A Build/KTU84P),"3,862"
Dalvik/2.1.0 (Linux; U; Android 5.1.1; SM-A7100 Build/LMY47X),"3,856"
BBCBeacon/0.74b (GT-N7100; Android 4.4.2) news/2.5.5 WW,"3,854"
Dalvik/1.6.0 (Linux; U; Android 4.4.2; A1-830 Build/KOT49H),"3,854"
Dalvik/2.1.0 (Linux; U; Android 6.0.1; SM-J210F Build/MMB29Q),"3,854"
BBCBeacon/0.74b (SGH-I337M; Android 5.0.1) news/2.5.5 WW,"3,839"
Dalvik/2.1.0 (Linux; U; Android 5.0.2; HTC Desire 820 Build/LRX22G),"3,839"
Dalvik/1.6.0 (Linux; U; Android 4.4.2; SAMSUNG-SGH-I257 Build/KOT49H),"3,830"
BBCBeacon/3.5 (iPhone; iPhone OS 6.1) BBCNews/2.1.4,"3,826"
BBCBeacon/0.74b (TECNO_P5_PLUS; Android 4.4.2) news/2.2,"3,819"
Dalvik/2.1.0 (Linux; U; Android 5.0.1; SCH-R970 Build/LRX22C),"3,819"
Dalvik/2.1.0 (Linux; U; Android 5.0.2; VK810 4G Build/LRX22G),"3,818"
Dalvik/2.1.0 (Linux; U; Android 5.1.1; Nexus 7 Build/LMY48G),"3,814"
BBCBeacon/0.74b (GT-I9500; Android 5.0.1) news/2.5.5 WW,"3,808"
Dalvik/2.1.0 (Linux; U; Android 5.0.2; SM-S920L Build/LRX22G),"3,808"
Dalvik/2.1.0 (Linux; U; Android 5.0.2; PLK-AL10 Build/HONORPLK-AL10),"3,807"
Dalvik/2.1.0 (Linux; U; Android 5.1; XT1526 Build/LPI23.29-18-S.12),"3,781"
Dalvik/2.1.0 (Linux; U; Android 6.0; HUAWEI GRA-UL10 Build/HUAWEIGRA-UL10),"3,771"
BBCBeacon/0.74b (LG-D802; Android 4.4.2) news/2.5.5 UK,"3,768"
Dalvik/1.6.0 (Linux; U; Android 4.4.2; SGH-T999V Build/KOT49H),"3,767"
Dalvik/2.1.0 (Linux; U; Android 5.1.1; SM-G903W Build/LMY47X),"3,764"
BBCBeacon/3.5 (iPad; iPhone OS 9.3.5) BBCNews/2.0.1,"3,761"
Dalvik/1.6.0 (Linux; U; Android 4.4.4; E2115 Build/24.0.B.5.14),"3,761"
Dalvik/2.1.0 (Linux; U; Android 6.0; VK815 Build/MRA58K),"3,744"
Dalvik/1.6.0 (Linux; U; Android 4.3; NokiaX2DS Build/JLS36C),"3,742"
Dalvik/2.1.0 (Linux; U; Android 6.0; HUAWEI GRA-UL00 Build/HUAWEIGRA-UL00),"3,733"
Dalvik/2.1.0 (Linux; U; Android 5.1.1; Infinix X510 Build/LMY47V),"3,723"
BBCBeacon/0.74b (GT-P5110; Android 4.2.2) news/2.4.5 UK,"3,720"
Dalvik/2.1.0 (Linux; U; Android 5.1; XT1526 Build/LPI23.29-22-R.15),"3,720"
Dalvik/2.1.0 (Linux; U; Android 5.0; E2333 Build/26.1.B.3.109),"3,704"
Dalvik/2.1.0 (Linux; U; Android 5.0.1; ASUS ZenFone 2E Build/LRX22C),"3,700"
Dalvik/2.1.0 (Linux; U; Android 5.1.1; SM-A5100 Build/LMY47X),"3,697"
BBCBeacon/0.74b (A1-810; Android 4.2.2) news/2.5.5 UK,"3,693"
BBCBeacon/3.5 (iPad; iPhone OS 7.0) BBCNews/2.1.4,"3,693"
Dalvik/2.1.0 (Linux; U; Android 5.1.1; C6602 Build/10.7.A.0.222),"3,688"
Dalvik/2.1.0 (Linux; U; Android 6.0.1; SM-J500M Build/MMB29M),"3,686"
BBCBeacon/0.74b (GT-N7105; Android 4.4.2) news/2.5.5 UK,"3,682"
Dalvik/1.6.0 (Linux; U; Android 4.0.3; Sony Tablet S Build/TISU0143),"3,675"
Dalvik/2.1.0 (Linux; U; Android 5.0; LG-D855 Build/LRX21R.A1439960697),"3,675"
Dalvik/1.6.0 (Linux; U; Android 4.4.4; Vodafone Smart Tab 4G Build/KTU84P),"3,666"
Dalvik/2.1.0 (Linux; U; Android 5.1; ASUS_Z00VD Build/LMY47I),"3,665"
Dalvik/2.1.0 (Linux; U; Android 5.1; Lenovo P70-A Build/LMY47D),"3,663"
Dalvik/1.6.0 (Linux; U; Android 4.3; GT-I9300T Build/JSS15J),"3,651"
Dalvik/2.1.0 (Linux; U; Android 5.1.1; D6603 Build/23.4.A.1.232),"3,651"
Dalvik/2.1.0 (Linux; U; Android 6.0.1; SM-N915T Build/MMB29M),"3,648"
Dalvik/2.1.0 (Linux; U; Android 5.0.2; LG-LS980 Build/LRX22G),"3,647"
Dalvik/1.6.0 (Linux; U; Android 4.0.3; HTC Desire C Build/IML74K),"3,645"
Dalvik/1.6.0 (Linux; U; Android 4.3; HUAWEI G6-L11 Build/HuaweiG6-L11),"3,642"
Dalvik/1.6.0 (Linux; U; Android 4.4.2; SM-S902L Build/KOT49H),"3,638"
BBCBeacon/3.5 (iPod touch; iPhone OS 6.1.3) BBCNews/2.1.4,"3,637"
Dalvik/2.1.0 (Linux; U; Android 6.0.1; ASUS_Z00AD Build/MMB29P),"3,634"
BBCBeacon/0.74b (SCH-I535; Android 4.4.2) news/2.5.5 WW,"3,633"
Dalvik/2.1.0 (Linux; U; Android 5.1; B3-A20B Build/LMY47I),"3,633"
Dalvik/2.1.0 (Linux; U; Android 6.0; Lenovo A7020a48 Build/MRA58K),"3,630"
BBCNews/3.6.0.153 CFNetwork/758.1.6 Darwin/15.0.0,"3,628"
Dalvik/2.1.0 (Linux; U; Android 6.0.1; SM-N920S Build/MMB29K),"3,627"
Dalvik/1.6.0 (Linux; U; Android 4.4.4; XT1039 Build/KXB21.14-L1.56-1),"3,626"
BBCBeacon/0.74b (Nexus 7; Android 5.1.1) news/2.4.5 UK,"3,625"
Dalvik/2.1.0 (Linux; U; Android 6.0.1; SM-J700P Build/MMB29M),"3,625"
BBCBeacon/3.5 (iPad; iPhone OS 5.1.1) BBCNews/2.1.1,"3,618"
Dalvik/2.1.0 (Linux; U; Android 5.0.2; A3-A30 Build/LRX22G),"3,611"
Dalvik/2.1.0 (Linux; U; Android 5.0.2; SM-T531 Build/LRX22G),"3,611"
Dalvik/2.1.0 (Linux; U; Android 6.0.1; SM-T355Y Build/MMB29M),"3,610"
BBCBeacon/0.74b (GT-N5110; Android 4.4.2) news/2.5.5 UK,"3,609"
Dalvik/2.1.0 (Linux; U; Android 5.1.1; Mi-4c MIUI/V7.5.4.0.LXKCNDE),"3,609"
Dalvik/2.1.0 (Linux; U; Android 5.0; vivo X5Pro D Build/LRX21M),"3,605"
BBCBeacon/1.00 (iPhone; iPhone OS 9.3.5) BBCNews/1.7.3,"3,601"
BBCBeacon/0.74b (SGH-I747M; Android 4.4.2) news/2.5.5 WW,"3,591"
Dalvik/1.6.0 (Linux; U; Android 4.1.2; GT-P3110 Build/JZO54K),"3,591"
Dalvik/2.1.0 (Linux; U; Android 5.1.1; C6902 Build/14.6.A.1.236),"3,590"
Dalvik/1.6.0 (Linux; U; Android 4.2.1; ASUS Transformer Pad TF300T Build/JOP40D),"3,588"
BBCBeacon/3.5 (iPad; iPhone OS 5.1.1) BBCNews/2.1.2,"3,587"
Dalvik/2.1.0 (Linux; U; Android 5.1; Lenovo YT3-X90F Build/LMY47I),"3,580"
Dalvik/2.1.0 (Linux; U; Android 5.1; Power Build/LMY47D),"3,578"
Dalvik/2.1.0 (Linux; U; Android 6.0.1; Lenovo P1a42 Build/MMB29M),"3,577"
Dalvik/1.6.0 (Linux; U; Android 4.2.2; HUAWEI Y330-U05 Build/HuaweiY330-U05),"3,562"
Dalvik/1.6.0 (Linux; U; Android 4.4.2; LGL41C Build/KOT49I.L41CV10a),"3,560"
Dalvik/2.1.0 (Linux; U; Android 5.1.1; SM-T285 Build/LMY47V),"3,551"
Dalvik/2.1.0 (Linux; U; Android 6.0.1; GT-I9505 Build/MOB30Z),"3,545"
Dalvik/2.1.0 (Linux; U; Android 5.1.1; Lenovo A6020a46 Build/LMY47V),"3,544"
Dalvik/1.6.0 (Linux; U; Android 4.4.2; H60-L01 Build/HDH60-L01),"3,541"
Dalvik/2.1.0 (Linux; U; Android 5.0.2; SM-T815 Build/LRX22G),"3,538"
BBCBeacon/0.74b (Nexus 10; Android 5.1.1) news/2.5.5 UK,"3,534"
Dalvik/1.6.0 (Linux; U; Android 4.4.4; OPPO R7s Build/KTU84P),"3,529"
Dalvik/2.1.0 (Linux; U; Android 5.0.2; Lenovo TAB 2 A8-50F Build/LRX22G),"3,524"
Dalvik/1.6.0 (Linux; U; Android 4.2.2; SGH-T399 Build/JDQ39),"3,522"
Dalvik/2.1.0 (Linux; U; Android 6.0; F3211 Build/36.0.A.1.111),"3,518"
Dalvik/1.6.0 (Linux; U; Android 4.1.2; Nokia_XL Build/JZO54K),"3,505"
BBCNews/3.7.0.99 CFNetwork/711.1.16 Darwin/14.0.0,"3,499"
BBCBeacon/0.74b (HTC Desire 510; Android 4.4.3) news/2.5.5 UK,"3,493"
BBCBeacon/0.74b (SM-J320FN; Android 5.1.1) news/2.5.5 UK,"3,489"
Dalvik/1.6.0 (Linux; U; Android 4.4.4; SM-J100Y Build/KTU84P),"3,488"
Dalvik/2.1.0 (Linux; U; Android 6.0.1; SM-G920S Build/MMB29K),"3,482"
"Mozilla/5.0 (Linux; U; Android 4.4.2; en-gb; Vodafone 985N Build/KOT49H) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30","3,481"
Dalvik/2.1.0 (Linux; U; Android 6.0; R1 HD Build/MRA58K),"3,479"
Dalvik/2.1.0 (Linux; U; Android 5.1; Infinix-X552 Build/LMY47I),"3,478"
Dalvik/1.6.0 (Linux; U; Android 4.4.4; Lenovo P70-A Build/KOT49H),"3,470"
Dalvik/2.1.0 (Linux; U; Android 5.1.1; E5823 Build/32.0.A.6.152),"3,470"
Dalvik/2.1.0 (Linux; U; Android 5.1.1; MotoG3 Build/LPI23.72-59),"3,468"
BBCNews/3.6.0.149 CFNetwork/711.0.6 Darwin/14.0.0,"3,467"
Dalvik/2.1.0 (Linux; U; Android 6.0.1; SM-N910S Build/MMB29K),"3,465"
Dalvik/1.6.0 (Linux; U; Android 4.4.3; HTC One Build/KTU84L),"3,454"
Dalvik/2.1.0 (Linux; U; Android 5.1; Infinix NOTE 2 Build/LMY47D),"3,447"
BBCBeacon/0.74b (TECNO-J7; Android 4.4.2) news/2.2,"3,442"
BBCBeacon/0.74b (Z10; Android 4.3) news/2.2,"3,441"
BBCBeacon/0.74b (GT-I9300; Android 4.3) news/2.5.3 WW,"3,440"
BBCBeacon/0.74b (GT-S7275R; Android 4.2.2) news/2.4.5 UK,"3,437"
Dalvik/1.6.0 (Linux; U; Android 4.4.2; ASUS_T00F Build/KVT49L),"3,426"
Dalvik/2.1.0 (Linux; U; Android 5.1.1; ONE A2001 Build/LMY47V),"3,422"
Dalvik/2.1.0 (Linux; U; Android 6.0; F3111 Build/33.2.A.2.35),"3,422"
BBCBeacon/0.74b (GT-S6810P; Android 4.1.2) news/2.4.5 UK,"3,414"
Dalvik/1.6.0 (Linux; U; Android 4.4.4; SM-G360G Build/KTU84P),"3,414"
Dalvik/1.6.0 (Linux; U; Android 4.4.2; SM-G355HN Build/KOT49H),"3,411"
Dalvik/1.6.0 (Linux; U; Android 4.4.2; CHC-U01 Build/HuaweiCHC-U01),"3,410"
Dalvik/2.1.0 (Linux; U; Android 5.1; A1601 Build/LMY47I),"3,410"
BBCBeacon/0.74b (B1-710; Android 4.1.2) news/2.5.5 UK,"3,407"
Dalvik/2.1.0 (Linux; U; Android 6.0.1; STH100-2 Build/MMB29M),"3,407"
Dalvik/2.1.0 (Linux; U; Android 5.0; SM-G900W8 Build/LRX21T),"3,405"
BBCNews/3.6.0.153 CFNetwork/672.1.14 Darwin/14.0.0,"3,404"
Dalvik/2.1.0 (Linux; U; Android 6.0.1; SGP611 Build/23.5.A.0.575),"3,399"
Dalvik/2.1.0 (Linux; U; Android 5.0.1; LGL33L Build/LRX21Y),"3,397"
BBCBeacon/0.74b (SM-P600; Android 5.1.1) news/2.5.5 UK,"3,395"
Dalvik/2.1.0 (Linux; U; Android 5.1; T02 Build/LMY47D),"3,394"
Dalvik/1.6.0 (Linux; U; Android 4.4.2; SM-T211 Build/KOT49H),"3,393"
Dalvik/2.1.0 (Linux; U; Android 6.0.1; MI 5 MIUI/6.9.1),"3,392"
Dalvik/1.6.0 (Linux; U; Android 4.4.4; Vodafone Smart 4 turbo Build/KTU84P),"3,389"
Dalvik/2.1.0 (Linux; U; Android 5.0; Lenovo A7000-a Build/LRX21M),"3,387"
Dalvik/1.6.0 (Linux; U; Android 4.4.2; BLU STUDIO G Build/KOT49H),"3,386"
Dalvik/1.6.0 (Linux; U; Android 4.4.2; SCH-I545 Build/KOT49H),"3,385"
Dalvik/2.1.0 (Linux; U; Android 5.1.1; vivo X6S A Build/LMY47V),"3,382"
Dalvik/2.1.0 (Linux; U; Android 5.1.1; HUAWEI CRR-L09 Build/HUAWEICRR-L09),"3,381"
Dalvik/2.1.0 (Linux; U; Android 5.0.2; vivo X5M Build/LRX22G),"3,380"
Dalvik/2.1.0 (Linux; U; Android 6.0.1; Nexus 5X Build/MHC19J),"3,379"
Dalvik/2.1.0 (Linux; U; Android 5.1.1; SM-J105B Build/LMY47V),"3,371"
